Nested Sampling Global Log-Evidence           :   -0.539625664003679231E+04  +/-    0.247943649615331857E+00
Nested Importance Sampling Global Log-Evidence:   -0.539636126568352392E+04  +/-    0.171087441277135086E-01

Dim No.       Mean        Sigma
   1    0.223241280545584675E-01    0.218293029173144551E-03
   2    0.119387541999484606E+00    0.191723081623183973E-02
   3    0.681203885102707685E+00    0.875095310007984427E-02
   4    0.917040915816927787E-01    0.161709269394826848E-01
   5    0.967441080359821792E+00    0.568637654579074239E-02
   6    0.311778516793305682E+01    0.298654654870875100E-01
   7    0.100068029173350759E+01    0.220546408826683598E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.223656017179495389E-01
   2    0.118435873391383811E+00
   3    0.684819063557582153E+00
   4    0.927449690177480773E-01
   5    0.969814266112013712E+00
   6    0.311650495952692363E+01
   7    0.100019577078355515E+01

MAP Parameters
Dim No.        Parameter
   1    0.223656017179495389E-01
   2    0.118435873391383811E+00
   3    0.684819063557582153E+00
   4    0.927449690177480773E-01
   5    0.969814266112013712E+00
   6    0.311650495952692363E+01
   7    0.100019577078355515E+01
