    0.215938697106366241E-01    0.112553800930771955E+00    0.677816925737400711E+00    0.967151039299474907E-01    0.937115027828244962E+00    0.309073078764862297E+01   -0.381653741739974339E+04
    0.234117753962489426E-01    0.112042110195009273E+00    0.721366104397813346E+00    0.104892736983200063E+00    0.972290029322568694E+00    0.312190747837183658E+01   -0.381544024514436842E+04
    0.222417223274611643E-01    0.116164605338986204E+00    0.677302056373137118E+00    0.779050572033278543E-01    0.975001142230905504E+00    0.306545249032111222E+01   -0.381531284975059816E+04
    0.224137673243390498E-01    0.106683929461229773E+00    0.722870675501297244E+00    0.885804325920463015E-01    0.978016720293965913E+00    0.307472206373310852E+01   -0.381494497846899094E+04
    0.231226486957782432E-01    0.108619427715846248E+00    0.708861513833357049E+00    0.106613374806406064E+00    0.984610437509262582E+00    0.311478069113055911E+01   -0.381453940684112149E+04
    0.229416300106739246E-01    0.120465128095306684E+00    0.697875943812206634E+00    0.923929888815187422E-01    0.966120150365747943E+00    0.313751806476273787E+01   -0.381414336834203141E+04
    0.232424128681890975E-01    0.111777927037063074E+00    0.709989082779744152E+00    0.929048422565407206E-01    0.986647955291581780E+00    0.308936003609443466E+01   -0.381414006590994950E+04
    0.220417084227998022E-01    0.125606633654570476E+00    0.641211181896758853E+00    0.111710062647496527E+00    0.952945555234994357E+00    0.317574573443515096E+01   -0.381404332931579575E+04
    0.221062623917368632E-01    0.116890931082952801E+00    0.692781724568791724E+00    0.685543048230561891E-01    0.959427868632888980E+00    0.305477240486812107E+01   -0.381391162613494862E+04
    0.219049545452999934E-01    0.116834175221334380E+00    0.658799133982295948E+00    0.920317904400758668E-01    0.952157118287077942E+00    0.308861966003455501E+01   -0.381383454536951058E+04
    0.218429229920823025E-01    0.110572589402962787E+00    0.683787795436059276E+00    0.818919184702422975E-01    0.967881739909997374E+00    0.305624705053443391E+01   -0.381377477472171950E+04
    0.223420605309463116E-01    0.120428064481926847E+00    0.664662348479047482E+00    0.710946458064625475E-01    0.968434110873753973E+00    0.306885815231412185E+01   -0.381357147880004368E+04
