    0.237742221787226107E-01    0.113603408463400349E+00    0.774239918642769420E+00    0.490578952126366624E-01   -0.224314968837219197E+01    0.234091898802652931E+01    0.385018410899454988E+01    0.217109728279409264E+01    0.100183929873893218E+01   -0.233007282812596881E+06   -0.570378062280500497E+01    1
    0.218781696013520127E-01    0.126377533630361805E+00    0.800857476090101494E+00    0.109870706822504757E+00   -0.125907081003722752E+02    0.272177722583192949E+00   -0.189979066073400649E+01   -0.188916875753154390E+01    0.100136178103625517E+01   -0.219872344876918884E+06   -0.570711395613835482E+01    1
    0.214487450437203832E-01    0.117757124196835664E+00    0.654098704696845390E+00    0.419449894639684212E-01   -0.760340415972392325E+01    0.282811390554115860E+01   -0.198868298361563722E+01   -0.166539711096354659E+01    0.100474034061346096E+01   -0.219330382517082733E+06   -0.571044728947168334E+01    1
    0.224047637176251375E-01    0.145082444936071447E+00    0.849226582007329478E+00    0.130345130666081277E+00   -0.131690917001325420E+02    0.187606258746447985E+00   -0.152793857560430157E+01   -0.194034994446174935E+01    0.998232692195469173E+00   -0.216918503338260663E+06   -0.571378062280501098E+01    1
    0.221093184537237732E-01    0.157210819471150925E+00    0.567333498308355333E+00    0.218746135055857202E-01   -0.696456122460872695E+01   -0.918441388772659906E+00   -0.194818950340256558E+01   -0.985934694785412402E+00    0.996592527775314374E+00   -0.216420634845914959E+06   -0.571711395613834394E+01    1
    0.245082153833834741E-01    0.125480883256942261E+00    0.744601193090869806E+00    0.180027656854759133E+00   -0.706711077483858929E+01    0.106484292640824529E+01   -0.164930958213759538E+01   -0.193816018945994206E+01    0.100142617964905245E+01   -0.216388155549195712E+06   -0.572044728947168135E+01    1
    0.205885119088822441E-01    0.198806973471103487E+00    0.726717389246899881E+00    0.987595294545150076E-01   -0.646243181004992451E+01    0.256466430060471318E-01   -0.184890666250321334E+01   -0.869936688276151449E+00    0.998769668847330094E+00   -0.216250528680329619E+06   -0.572378062280502586E+01    1
    0.211228215468552173E-01    0.168281032959165106E+00    0.723411656704158523E+00    0.989804039582984768E-01   -0.155154988653765002E+01   -0.668192768244381119E+00   -0.199325024821274344E+01   -0.866210564257887450E+00    0.999232688094080612E+00   -0.212818546540907322E+06   -0.572711395613835883E+01    1
    0.203821046415852067E-01    0.152205979382870282E+00    0.809223123401880962E+00    0.158230743298797605E+00   -0.779325428794262809E+01   -0.175950150136050287E+01   -0.179866389091266865E+01   -0.621692213922971026E+00    0.999507358921172817E+00   -0.211715943518099986E+06   -0.573044728947169002E+01    1
    0.245786004081591618E-01    0.129696468599280496E+00    0.781223638502281492E+00    0.140946398744649676E+00   -0.331500240533792656E+01   -0.101258833687747440E+01   -0.170086198672121847E+01   -0.553503679472604260E+00    0.997480115068779538E+00   -0.211562127199472394E+06   -0.573378062280501766E+01    1
