Nested Sampling Global Log-Evidence           :   -0.537848758907448246E+04  +/-    0.242221591872730624E+00
Nested Importance Sampling Global Log-Evidence:   -0.537939989348309700E+04  +/-    0.262040266721042560E-01

Dim No.       Mean        Sigma
   1    0.228395660771206349E-01    0.222262665313733231E-03
   2    0.123483389484378425E+00    0.376883710193975322E-02
   3    0.699997975022742192E+00    0.146361558497827421E-01
   4    0.106315660154103903E+00    0.106063003409900616E-01
   5    0.994974438866333633E+00    0.814193080365168895E-02
   6    0.315534935589264443E+01    0.238337915580376161E-01
   7    0.366028712921074817E+01    0.225914031320852582E+00
   8    0.100064182909687904E+01    0.228961915243314305E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.229359343275875871E-01
   2    0.124484484986209704E+00
   3    0.708750493896345368E+00
   4    0.112228173374698204E+00
   5    0.100003339037434924E+01
   6    0.317273342449989482E+01
   7    0.376057194159081210E+01
   8    0.100176461233477299E+01

MAP Parameters
Dim No.        Parameter
   1    0.229359343275875871E-01
   2    0.124484484986209704E+00
   3    0.708750493896345368E+00
   4    0.112228173374698204E+00
   5    0.100003339037434924E+01
   6    0.317273342449989482E+01
   7    0.376057194159081210E+01
   8    0.100176461233477299E+01
