11	11
8.71e-08	-1.53e-07	9.43e-07	5.37e-07	3.7e-05	1.68e-05	2.36e-05	1.13e-05	-1.87e-06	2.62e-06	1.98e-08
-1.53e-07	2.9e-06	-1.14e-05	-5.72e-06	-0.000281	-2.54e-05	-0.000349	-4.34e-05	2.47e-05	-2.53e-05	-2.14e-08
9.43e-07	-1.14e-05	5.19e-05	2.5e-05	0.00149	0.000365	0.00163	0.000402	-0.000111	0.000122	2.2e-07
5.37e-07	-5.72e-06	2.5e-05	0.000159	0.00151	0.00486	0.00123	0.000663	2.1e-05	0.000353	-5.64e-07
3.7e-05	-0.000281	0.00149	0.00151	1.93	0.737	0.31	0.314	-0.0301	0.00627	0.00015
1.68e-05	-2.54e-05	0.000365	0.00486	0.737	2.78	0.156	0.95	-0.106	0.00972	-0.000236
2.36e-05	-0.000349	0.00163	0.00123	0.31	0.156	1.66	0.192	-0.00831	0.0059	-3e-05
1.13e-05	-4.34e-05	0.000402	0.000663	0.314	0.95	0.192	1.37	-0.0378	0.00139	-0.000223
-1.87e-06	2.47e-05	-0.000111	2.1e-05	-0.0301	-0.106	-0.00831	-0.0378	0.00496	-0.000133	1.49e-05
2.62e-06	-2.53e-05	0.000122	0.000353	0.00627	0.00972	0.0059	0.00139	-0.000133	0.000951	5.28e-06
1.98e-08	-2.14e-08	2.2e-07	-5.64e-07	0.00015	-0.000236	-3e-05	-0.000223	1.49e-05	5.28e-06	3.11e-06
