Nested Sampling Global Log-Evidence           :   -0.537036590161751610E+04  +/-    0.240600582484603809E+00
Nested Importance Sampling Global Log-Evidence:   -0.537106231923817722E+04  +/-    0.171624122865459382E-01

Dim No.       Mean        Sigma
   1    0.223015151242973823E-01    0.224092572091465707E-03
   2    0.119352029971655255E+00    0.214289619368137913E-02
   3    0.681127164167997345E+00    0.970140319321273654E-02
   4    0.777475698085460659E-01    0.187790228623762497E-01
   5    0.966769417182590685E+00    0.601051954437747168E-02
   6    0.308911756662276415E+01    0.360192859264473614E-01
   7    0.100031335411022826E+01    0.237316486491504202E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.223193751812206138E-01
   2    0.119765741895883640E+00
   3    0.679650799747539613E+00
   4    0.741904664344587017E-01
   5    0.966422983703466354E+00
   6    0.308408006639979382E+01
   7    0.100120357600176701E+01

MAP Parameters
Dim No.        Parameter
   1    0.223193751812206138E-01
   2    0.119765741895883640E+00
   3    0.679650799747539613E+00
   4    0.741904664344587017E-01
   5    0.966422983703466354E+00
   6    0.308408006639979382E+01
   7    0.100120357600176701E+01
