Nested Sampling Global Log-Evidence           :   -0.539777872061703511E+04  +/-    0.253505363174220955E+00
Nested Importance Sampling Global Log-Evidence:   -0.539917231957635249E+04  +/-    0.142950270577460216E-01

Dim No.       Mean        Sigma
   1    0.224764431877924470E-01    0.197351137168708915E-03
   2    0.117125579949684491E+00    0.137543936286396609E-02
   3    0.688512912964082568E+00    0.627373197661130946E-02
   4    0.953238231557153870E-01    0.132057929487883682E-01
   5    0.972582942220704294E+00    0.469751556942829811E-02
   6    0.311943170994999397E+01    0.251270116043806752E-01
   7    0.362506619934451144E-01    0.330144726304738428E-01
   8    0.100050471665773566E+01    0.232674150460389362E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.225115359293657641E-01
   2    0.116048441690974877E+00
   3    0.695038608231454136E+00
   4    0.905422674693817514E-01
   5    0.975306490271977689E+00
   6    0.310761082032273483E+01
   7    0.717400721196586114E-02
   8    0.100063051556683869E+01

MAP Parameters
Dim No.        Parameter
   1    0.225115359293657641E-01
   2    0.116048441690974877E+00
   3    0.695038608231454136E+00
   4    0.905422674693817514E-01
   5    0.975306490271977689E+00
   6    0.310761082032273483E+01
   7    0.717400721196586114E-02
   8    0.100063051556683869E+01
