Nested Sampling Global Log-Evidence           :   -0.537362469210459494E+04  +/-    0.248024557931537881E+00
Nested Importance Sampling Global Log-Evidence:   -0.537481465591852520E+04  +/-    0.184350902460780723E-01

Dim No.       Mean        Sigma
   1    0.223665496909989901E-01    0.196159446157318748E-03
   2    0.117947467513963858E+00    0.135291389534292011E-02
   3    0.681272426545366461E+00    0.638415960919591196E-02
   4    0.855679967527439994E-01    0.167724943757582012E-01
   5    0.970051450170148710E+00    0.440885886426005316E-02
   6    0.310116630798312620E+01    0.328941642719781657E-01
   7    0.676831142838320021E-01    0.571973159414558702E-01
   8    0.100030370495488552E+01    0.233546892955096902E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.224304970091487102E-01
   2    0.117837594741342228E+00
   3    0.688218326924730839E+00
   4    0.893876812134224152E-01
   5    0.970623968185624131E+00
   6    0.310911031379996583E+01
   7    0.102635149269136548E-01
   8    0.100043278862933693E+01

MAP Parameters
Dim No.        Parameter
   1    0.224304970091487102E-01
   2    0.117837594741342228E+00
   3    0.688218326924730839E+00
   4    0.893876812134224152E-01
   5    0.970623968185624131E+00
   6    0.310911031379996583E+01
   7    0.102635149269136548E-01
   8    0.100043278862933693E+01
