    0.230371726942301194E-01    0.116822199841656899E+00    0.689550994035143416E+00    0.905346525598053897E-01    0.976524420781866409E+00    0.311891851720890667E+01    0.511006039164392037E-01    0.100371525008070872E+01   -0.536466868079582673E+04
    0.224794926758010542E-01    0.113439137472610169E+00    0.672536942099083435E+00    0.114281323920647243E+00    0.982501551041381815E+00    0.315355166418904886E+01    0.382725572122130209E+00    0.100224696332272489E+01   -0.536364771553372066E+04
    0.221113654796752102E-01    0.116354060595392481E+00    0.692310735857479598E+00    0.789160550143085809E-01    0.966778546462315869E+00    0.308846403114496049E+01    0.332848969485475821E-01    0.100223045342035699E+01   -0.536332202186946324E+04
    0.222965216955828931E-01    0.114256294366556585E+00    0.689267045739853979E+00    0.557053723762862552E-01    0.971360371413657830E+00    0.304187921865305233E+01    0.143551618426714100E+00    0.100312756893544108E+01   -0.536316277159969104E+04
    0.226232641885386124E-01    0.113009128184921148E+00    0.697298207813948689E+00    0.759935144518763539E-01    0.975410332357258714E+00    0.307234818409934185E+01    0.141594002163982324E+00    0.100086332213088425E+01   -0.536282346369781226E+04
    0.223941659822314877E-01    0.119609134006969542E+00    0.662981055063984526E+00    0.780540655817315576E-01    0.967877672869104422E+00    0.307983747829888088E+01    0.242620184877663930E+00    0.996397035732357161E+00   -0.536231726835031895E+04
    0.217224383841968863E-01    0.119177408740002641E+00    0.665333655963709303E+00    0.445999740515201359E-01    0.958822289102382430E+00    0.302594489654215959E+01    0.903215138909605197E-01    0.100249316537351518E+01   -0.536225066615930518E+04
    0.223688976456500460E-01    0.115174839406807658E+00    0.674391440591427860E+00    0.554893236787752514E-01    0.970707727479253268E+00    0.304376184142630812E+01    0.231510437127738306E+00    0.100398010772789004E+01   -0.536201605429551637E+04
    0.222612206911442893E-01    0.116977485507330323E+00    0.679847611756561609E+00    0.633385556512268827E-01    0.963127106390104903E+00    0.306519601752170923E+01    0.128908383599337206E+00    0.100257808780876045E+01   -0.536192577933592838E+04
    0.216275815083701098E-01    0.117895769108428555E+00    0.680193892955334944E+00    0.805019737751247189E-01    0.967914828394227822E+00    0.308769236781194589E+01    0.140581079728886796E-01    0.998146985860205116E+00   -0.536184351761991729E+04
    0.222445740351852085E-01    0.117405868069726860E+00    0.675364137529154140E+00    0.488543468668396277E-01    0.970681366400558798E+00    0.302882778145699216E+01    0.186814552329334499E+00    0.100195961368678299E+01   -0.536174252210811210E+04
    0.223199972691650698E-01    0.119805892097813421E+00    0.666261287314560802E+00    0.112870012004555625E+00    0.963732825506384616E+00    0.314788126170124460E+01    0.131926590812089989E+00    0.996220904968443177E+00   -0.536164588424346948E+04
    0.220764024739775952E-01    0.119131706612883081E+00    0.662228670923587281E+00    0.600907046686007112E-01    0.972777218882215133E+00    0.304797307541999096E+01    0.209672562224874875E+00    0.998484598363363896E+00   -0.536133318973160749E+04
    0.227063330750525844E-01    0.114503927290558957E+00    0.684009716039532978E+00    0.753554761691070246E-01    0.978928606614851926E+00    0.307823206387916404E+01    0.203818910928658864E+00    0.100157878686382706E+01   -0.536113473686473208E+04
    0.223915798811618050E-01    0.120313622798461473E+00    0.680790509268462962E+00    0.832222412308348397E-01    0.971444090451253683E+00    0.311761142772466116E+01    0.135170739583167394E-01    0.100545527018652714E+01   -0.536106057734986553E+04
    0.229345524194099482E-01    0.117821400049969827E+00    0.678450471088266616E+00    0.815415243578416771E-01    0.966891206447339502E+00    0.310112064244568586E+01    0.162120837716853983E+00    0.100430821826345817E+01   -0.536089689069908945E+04
