Nested Sampling Global Log-Evidence           :   -0.537069324265089926E+04  +/-    0.236640632898333508E+00
Nested Importance Sampling Global Log-Evidence:   -0.537150902599459096E+04  +/-    0.726869809088241114E-01

Dim No.       Mean        Sigma
   1    0.221911293954063643E-01    0.237524309578371887E-03
   2    0.120066995947212568E+00    0.224406734361413084E-02
   3    0.659874505541419687E+00    0.192401155628936331E-01
   4    0.808369608412514984E-01    0.168532781443560577E-01
   5    0.963925683362922281E+00    0.683442174843203187E-02
   6    0.309608240050848194E+01    0.322112889780815856E-01
   7    0.209910593861283801E+00    0.183613617482619146E+00
   8    0.100031667518975231E+01    0.220910616224742704E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.222706732593650134E-01
   2    0.119872612438625598E+00
   3    0.677765757326831420E+00
   4    0.733054591425792712E-01
   5    0.967423566030323645E+00
   6    0.307756464070222702E+01
   7    0.145098009424303037E-01
   8    0.998239995578438344E+00

MAP Parameters
Dim No.        Parameter
   1    0.222706732593650134E-01
   2    0.119872612438625598E+00
   3    0.677765757326831420E+00
   4    0.733054591425792712E-01
   5    0.967423566030323645E+00
   6    0.307756464070222702E+01
   7    0.145098009424303037E-01
   8    0.998239995578438344E+00
