    0.224168517367672876E-01    0.114093783994843337E+00    0.702925003273831228E+00    0.904406020755810641E-01    0.989298528106889008E+00    0.309593595111459097E+01    0.999195425271606652E+00   -0.536422817491792102E+04
    0.230074841065095979E-01    0.115908070195577223E+00    0.704320957992840668E+00    0.969067783314508935E-01    0.977642197326495821E+00    0.311885881444142710E+01    0.100092154281704615E+01   -0.536303728710350606E+04
    0.219713342573704777E-01    0.118849160836141943E+00    0.679443716916397045E+00    0.583442424543967886E-01    0.954202393612445743E+00    0.305336635103881404E+01    0.100024534696733847E+01   -0.536183396219512542E+04
    0.223670812560955827E-01    0.114916604188259774E+00    0.701923876052325091E+00    0.758744797962243589E-01    0.982765604274834503E+00    0.307506597374615120E+01    0.100153504549620465E+01   -0.536161285105575371E+04
    0.224573285858673082E-01    0.113603460747290136E+00    0.703059236913685881E+00    0.100008517489455467E+00    0.975030043560597304E+00    0.312225378551900112E+01    0.100051721398214699E+01   -0.536158376722067442E+04
    0.220386995385667313E-01    0.115146256375182721E+00    0.695732140364028084E+00    0.120095294939351879E+00    0.975496193910614706E+00    0.316002840887954806E+01    0.999121713678296608E+00   -0.536093391193408479E+04
    0.222609679139621729E-01    0.120889994839821269E+00    0.674802426977181291E+00    0.130179352236987206E+00    0.963853915977292974E+00    0.320249691610143383E+01    0.100139842942003265E+01   -0.536087750214823427E+04
    0.227405819309792236E-01    0.117065521746247847E+00    0.694413553267947625E+00    0.888556550112238330E-01    0.962494253951829304E+00    0.311849622716334851E+01    0.100357870113052150E+01   -0.536084417863900580E+04
    0.223609951397522877E-01    0.118132793398151206E+00    0.690126320869818177E+00    0.112405774986824233E+00    0.964625213555674765E+00    0.316350816638302934E+01    0.100400116288775143E+01   -0.536073524259317674E+04
    0.227168113261256958E-01    0.116193796021914403E+00    0.701565849008853326E+00    0.104848430131306611E+00    0.981739258024970196E+00    0.313579949357605958E+01    0.100026189361222162E+01   -0.536070779893079998E+04
    0.223115843971706737E-01    0.114924318700736841E+00    0.694546605665646410E+00    0.595529194965184194E-01    0.975081773897205517E+00    0.304423837142865583E+01    0.100177307810811334E+01   -0.536070641904198692E+04
    0.224567063797729283E-01    0.116481064196779269E+00    0.695675873748072382E+00    0.123286435542321923E+00    0.981548500051070416E+00    0.317042664234893845E+01    0.100150430079108155E+01   -0.536049099193439270E+04
    0.218796833668565699E-01    0.119430649412287065E+00    0.675576135645041598E+00    0.550714063549982008E-01    0.958248144701643656E+00    0.304927700183002282E+01    0.100062590429882525E+01   -0.536048900372830758E+04
    0.228738669657131966E-01    0.114992295355858337E+00    0.704008076484161416E+00    0.861457700002181137E-01    0.981521884988326709E+00    0.309187216737011239E+01    0.100001385360612582E+01   -0.536047821769695474E+04
    0.221639179556542242E-01    0.118148406580007054E+00    0.682802342606287138E+00    0.765538924351934214E-01    0.962256664595317446E+00    0.309842566568996203E+01    0.100446362846851733E+01   -0.536036658472792988E+04
    0.220363871749891700E-01    0.117851603266360502E+00    0.682208792934951513E+00    0.230208834704807123E-01    0.967857630891145959E+00    0.297468051764178965E+01    0.999071913343833606E+00   -0.536035123689003558E+04
    0.223613726512420716E-01    0.116708347613724714E+00    0.690132569475831570E+00    0.241088788810510310E-01    0.974851687172036074E+00    0.298227666890811616E+01    0.100413983698739284E+01   -0.536029512993149638E+04
    0.219480389027254669E-01    0.121257338573176443E+00    0.670426349060533999E+00    0.947854179428582466E-01    0.953891822264074207E+00    0.312466959241317355E+01    0.998742871369218022E+00   -0.536026481733005039E+04
    0.227147848220445349E-01    0.120901380304881928E+00    0.678824133180953915E+00    0.112134521439578624E+00    0.972320525237832411E+00    0.316141621774503712E+01    0.999692148078612175E+00   -0.536025669717907022E+04
    0.224666915169452162E-01    0.117395674814135639E+00    0.688836611990407244E+00    0.693308561676195673E-01    0.981961191613444750E+00    0.306783375104294898E+01    0.100282652766562963E+01   -0.536024242165016676E+04
    0.225935112307587074E-01    0.116433269996608357E+00    0.695903276534910797E+00    0.951500962989532545E-01    0.980192838379584486E+00    0.312298946009877287E+01    0.100113138135160851E+01   -0.536000606679347584E+04
    0.226285653981590472E-01    0.117788823922568245E+00    0.690375890306000772E+00    0.279014101337793016E-01    0.967860948569111534E+00    0.297881078686791856E+01    0.996004486586329563E+00   -0.535973504636013695E+04
    0.217531508763801548E-01    0.119385241694388258E+00    0.677432812841580412E+00    0.575764160907313860E-01    0.958130553441057464E+00    0.304983240535453692E+01    0.100092747349110534E+01   -0.535965886059754484E+04
    0.227820235288960816E-01    0.117634173487556976E+00    0.692337274720326024E+00    0.805171853697758122E-01    0.962924957581582808E+00    0.309065610364163268E+01    0.999865884629726809E+00   -0.535952706908669188E+04
