    0.205904186610872571E-01    0.109090229110146320E+00    0.580496937095268950E+00    0.370124617162668063E-01    0.104125225911023556E+01    0.391346531718486590E+01    0.133534247268299455E+01    0.998871377324195397E+00   -0.500376180181356962E+06   -0.570378062280500497E+01    1
    0.233626885476885780E-01    0.157849280456434787E+00    0.645915608494109117E+00    0.512436483593941075E-01    0.109882634093724652E+01    0.397392563414858868E+01    0.264156015987619375E+01    0.999940662044690010E+00   -0.386216628712215519E+06   -0.570711395613835482E+01    1
    0.205012072150013262E-01    0.170123942641928982E+00    0.604862154676296448E+00    0.285603292743080474E-01    0.932275988295321212E+00    0.396613244761213313E+01    0.243489963934869014E+01    0.100152308313995286E+01   -0.322310334937116306E+06   -0.571044728947168334E+01    1
    0.229668583532263819E-01    0.103522727248182830E+00    0.848394972209280618E+00    0.129213882418209830E+00    0.981743291691502873E+00    0.398580030752438663E+01    0.216154732179005471E+01    0.100426562327424684E+01   -0.273731471604781225E+06   -0.571378062280501098E+01    1
    0.208929512138581845E-01    0.173529602351650936E+00    0.672114777181582523E+00    0.716916363562070252E-01    0.935139061071705635E+00    0.398547856171623804E+01    0.209305386023039652E+01    0.998431878750284052E+00   -0.257584383571249724E+06   -0.571711395613834394E+01    1
    0.212068134152420852E-01    0.149361968168072679E+00    0.751443596326347274E+00    0.133992794721933595E+00    0.109927704732903875E+01    0.399487284790042985E+01    0.223149709458236467E+01    0.100195815824682910E+01   -0.247805536952543480E+06   -0.572044728947168135E+01    1
    0.203386385591224177E-01    0.104797902803007950E+00    0.775457480359477369E+00    0.711095112857118850E-01    0.102787689605120769E+01    0.381321974225564819E+01    0.276757264187393837E+01    0.997850057036643312E+00   -0.247154357237061718E+06   -0.572378062280502586E+01    1
    0.248096237927787622E-01    0.111992390604756742E+00    0.789654767463715102E+00    0.985478495613956729E-01    0.932466401255438004E+00    0.392722588114417892E+01    0.235072477859968210E+01    0.100344115023368885E+01   -0.240833102028300083E+06   -0.572711395613835883E+01    1
    0.214435379829942159E-01    0.175519789121734937E+00    0.561105034712205408E+00    0.712802821351178895E-01    0.987377729556161876E+00    0.393752591932922735E+01    0.795969541525520657E-01    0.100026736707611241E+01   -0.238270792875756830E+06   -0.573044728947169002E+01    1
    0.235944632487053128E-01    0.158994362939591766E+00    0.570092829221256592E+00    0.341100546505690300E-01    0.106913206386752657E+01    0.377705951885109670E+01    0.135332211582940976E+01    0.996393686248048249E+00   -0.223531340165878239E+06   -0.573378062280501766E+01    1
    0.235416454973708215E-01    0.191231510737538801E+00    0.765627257811514306E+00    0.418182497489446581E-01    0.911642485647119361E+00    0.389851206452213539E+01    0.154882175450677217E+01    0.995826464394330424E+00   -0.207741040884298272E+06   -0.573711395613834529E+01    1
    0.243866237204993508E-01    0.165457889326329821E+00    0.584891503229142629E+00    0.687459599033348745E-01    0.927903583163942836E+00    0.389133411700600362E+01    0.135927910267464491E+01    0.999357451649344197E+00   -0.196155673648838652E+06   -0.574044728947167915E+01    1
    0.229889093851740542E-01    0.186843137525018743E+00    0.551892310200151281E+00    0.882805915402317953E-01    0.947411285427716132E+00    0.395695190364135740E+01    0.137565710734744262E+01    0.999690769897550124E+00   -0.196124223004782223E+06   -0.574378062280501744E+01    1
